,timeNumber,timePoint,geno.decomp,genotype,predicted.values,standard.errors,plantingDate,DAP
62,1,6/7/2018,Ki3/NC356,Y062,1.877664277,0.934006067,3/14/2018,85
63,1,6/7/2018,Ki3/NC356,Y063,0.937415271,0.934054251,3/14/2018,85
64,1,6/7/2018,Ki3/NC356,Y064,1.845451698,0.93579006,3/14/2018,85
65,1,6/7/2018,Ki3/NC356,Y065,2.559942869,0.934529804,3/14/2018,85
66,1,6/7/2018,Ki3/NC356,Y066,2.572359489,0.933853038,3/14/2018,85
67,1,6/7/2018,Ki3/NC356,Y067,3.939956869,0.933557926,3/14/2018,85
68,1,6/7/2018,Ki3/NC356,Y068,2.061192369,0.934793319,3/14/2018,85
69,1,6/7/2018,Ki3/NC356,Y069,1.62850477,0.934268523,3/14/2018,85
70,1,6/7/2018,Ki3/NC356,Y070,4.720109164,0.933898881,3/14/2018,85
71,1,6/7/2018,Ki3/NC356,Y071,2.381345378,0.937369068,3/14/2018,85
72,1,6/7/2018,Ki3/NC356,Y072,1.956520553,0.932450675,3/14/2018,85
73,1,6/7/2018,Ki3/NC356,Y073,2.133972837,0.933223395,3/14/2018,85
74,1,6/7/2018,Ki3/NC356,Y074,0.655562385,0.935589854,3/14/2018,85
75,1,6/7/2018,Ki3/NC356,Y075,2.239330382,0.933426772,3/14/2018,85
76,1,6/7/2018,Ki3/NC356,Y076,0.649200675,0.933127766,3/14/2018,85
77,1,6/7/2018,Ki3/NC356,Y077,2.213116615,0.935249412,3/14/2018,85
78,1,6/7/2018,Ki3/NC356,Y078,1.049617882,0.935981947,3/14/2018,85
79,1,6/7/2018,Ki3/NC356,Y079,2.369348114,0.933141923,3/14/2018,85
80,1,6/7/2018,Ki3/NC356,Y080,1.092908829,0.933231424,3/14/2018,85
81,1,6/7/2018,Ki3/NC356,Y081,1.714570644,0.932789589,3/14/2018,85
82,1,6/7/2018,Ki3/NC356,Y082,3.8038282,0.936233363,3/14/2018,85
83,1,6/7/2018,Ki3/NC356,Y083,1.78526787,0.934602141,3/14/2018,85
84,1,6/7/2018,Ki3/NC356,Y084,3.06776984,0.933112697,3/14/2018,85
85,1,6/7/2018,Ki3/NC356,Y085,2.382917959,0.934537867,3/14/2018,85
86,1,6/7/2018,Ki3/NC356,Y086,2.508620062,0.935656247,3/14/2018,85
87,1,6/7/2018,Ki3/NC356,Y087,3.146677179,0.935143707,3/14/2018,85
88,1,6/7/2018,Ki3/NC356,Y088,5.650922109,0.933042188,3/14/2018,85
89,1,6/7/2018,Ki3/NC356,Y089,1.995291977,0.935075586,3/14/2018,85
90,1,6/7/2018,Ki3/NC356,Y090,4.755241708,0.932724191,3/14/2018,85
91,1,6/7/2018,Ki3/NC356,Y091,1.706745683,0.936682281,3/14/2018,85
92,1,6/7/2018,Ki3/NC356,Y092,1.997039167,0.934062402,3/14/2018,85
93,1,6/7/2018,Ki3/NC356,Y093,2.429907242,0.934138505,3/14/2018,85
94,1,6/7/2018,Ki3/NC356,Y094,1.401500416,0.934251839,3/14/2018,85
95,1,6/7/2018,Ki3/NC356,Y095,1.174207334,0.93700917,3/14/2018,85
96,1,6/7/2018,Ki3/NC356,Y096,3.893723348,0.932471364,3/14/2018,85
97,1,6/7/2018,Ki3/NC356,Y097,4.428550863,0.935883662,3/14/2018,85
98,1,6/7/2018,Ki3/NC356,Y098,0.883262757,0.935574182,3/14/2018,85
99,1,6/7/2018,Ki3/NC356,Y099,2.480860287,0.933360535,3/14/2018,85
100,1,6/7/2018,Ki3/NC356,Y100,1.031419751,0.934366549,3/14/2018,85
101,1,6/7/2018,Ki3/NC356,Y101,2.927780807,0.933638465,3/14/2018,85
102,1,6/7/2018,Ki3/NC356,Y102,2.283992734,0.935989796,3/14/2018,85
103,1,6/7/2018,Ki3/NC356,Y103,3.185241129,0.933872632,3/14/2018,85
104,1,6/7/2018,Ki3/NC356,Y105,1.036775531,0.932489135,3/14/2018,85
105,1,6/7/2018,Ki3/NC356,Y106,0.646371973,0.935594353,3/14/2018,85
106,1,6/7/2018,Ki3/NC356,Y107,3.682214704,0.936436566,3/14/2018,85
107,1,6/7/2018,Ki3/NC356,Y108,1.63161177,0.93391384,3/14/2018,85
108,1,6/7/2018,Ki3/NC356,Y109,2.477176946,0.932763349,3/14/2018,85
109,1,6/7/2018,Ki3/NC356,Y110,2.160466501,0.934437212,3/14/2018,85
110,1,6/7/2018,Ki3/NC356,Y111,2.476258776,0.934176171,3/14/2018,85
111,1,6/7/2018,Ki3/NC356,Y112,2.674552778,0.937224968,3/14/2018,85
112,1,6/7/2018,Ki3/NC356,Y113,3.542356833,0.933975244,3/14/2018,85
113,1,6/7/2018,Ki3/NC356,Y114,3.041537833,0.932532164,3/14/2018,85
114,1,6/7/2018,Ki3/NC356,Y115,1.451602271,0.935869631,3/14/2018,85
115,1,6/7/2018,Ki3/NC356,Y116,1.736380788,0.933197791,3/14/2018,85
116,1,6/7/2018,Ki3/NC356,Y117,1.644453724,0.933823879,3/14/2018,85
117,1,6/7/2018,Ki3/NC356,Y118,2.419645434,0.935654032,3/14/2018,85
118,1,6/7/2018,Ki3/NC356,Y119,1.023396733,0.935865052,3/14/2018,85
119,1,6/7/2018,Ki3/NC356,Y120,3.408184775,0.934953675,3/14/2018,85
120,1,6/7/2018,Ki3/NC356,Y121,0.701079762,0.9330466,3/14/2018,85
121,1,6/7/2018,Ki3/NC356,Y122,2.054704583,0.934609841,3/14/2018,85
122,1,6/7/2018,Ki3/NC356,Y123,2.835636086,0.933326851,3/14/2018,85
123,1,6/7/2018,Ki3/NC356,Y124,1.38848011,0.935696778,3/14/2018,85
124,1,6/7/2018,Ki3/NC356,Y125,1.743955281,0.933386667,3/14/2018,85
125,1,6/7/2018,Ki3/NC356,Y126,1.628542437,0.933911758,3/14/2018,85
126,1,6/7/2018,Ki3/NC356,Y127,1.868909025,0.935576055,3/14/2018,85
127,1,6/7/2018,Ki3/NC356,Y128,2.177545569,0.935745568,3/14/2018,85
128,1,6/7/2018,Ki3/NC356,Y129,2.264966589,0.933271106,3/14/2018,85
129,1,6/7/2018,Ki3/NC356,Y130,2.671119785,0.934290304,3/14/2018,85
130,1,6/7/2018,Ki3/NC356,Y131,0.608708173,0.932505031,3/14/2018,85
131,1,6/7/2018,Ki3/NC356,Y132,1.501711865,0.93349618,3/14/2018,85
132,1,6/7/2018,Ki3/NC356,Y133,0.942402372,0.9351322,3/14/2018,85
133,1,6/7/2018,Ki3/NC356,Y134,1.115776243,0.934258932,3/14/2018,85
134,1,6/7/2018,Ki3/NC356,Y135,2.202776559,0.935857534,3/14/2018,85
135,1,6/7/2018,Ki3/NC356,Y136,0.792915316,0.934882698,3/14/2018,85
136,1,6/7/2018,Ki3/NC356,Y137,2.407767566,0.933998438,3/14/2018,85
137,1,6/7/2018,Ki3/NC356,Y138,3.086660592,0.933790691,3/14/2018,85
138,1,6/7/2018,Ki3/NC356,Y139,1.792671572,0.933885046,3/14/2018,85
139,1,6/7/2018,Ki3/NC356,Y140,3.244863709,0.933561917,3/14/2018,85
140,1,6/7/2018,Ki3/NC356,Y141,2.345402576,0.935296996,3/14/2018,85
141,1,6/7/2018,Ki3/NC356,Y142,3.21687172,0.932817268,3/14/2018,85
142,1,6/7/2018,Ki3/NC356,Y143,1.488625485,0.933791227,3/14/2018,85
143,1,6/7/2018,Ki3/NC356,Y144,3.148835888,0.934500988,3/14/2018,85
144,1,6/7/2018,Ki3/NC356,Y145,2.333769295,0.934160123,3/14/2018,85
145,1,6/7/2018,Ki3/NC356,Y146,1.0838271,0.932630972,3/14/2018,85
146,1,6/7/2018,Ki3/NC356,Y147,2.612681419,0.93414261,3/14/2018,85
147,1,6/7/2018,Ki3/NC356,Y148,1.5798156,0.93390841,3/14/2018,85
148,1,6/7/2018,Ki3/NC356,Y149,3.412486101,0.933757222,3/14/2018,85
149,1,6/7/2018,Ki3/NC356,Y150,1.043300422,0.933108562,3/14/2018,85
150,1,6/7/2018,Ki3/NC356,Y151,1.647099301,0.934017811,3/14/2018,85
151,1,6/7/2018,Ki3/NC356,Y152,1.736902195,0.934969527,3/14/2018,85
152,1,6/7/2018,Ki3/NC356,Y153,3.697903772,0.933630088,3/14/2018,85
153,1,6/7/2018,Ki3/NC356,Y154,2.790930129,0.93573897,3/14/2018,85
154,1,6/7/2018,Ki3/NC356,Y155,3.977172902,0.93546536,3/14/2018,85
155,1,6/7/2018,Ki3/NC356,Y156,0.649103911,0.933182641,3/14/2018,85
156,1,6/7/2018,Ki3/NC356,Y157,2.39706735,0.933577577,3/14/2018,85
157,1,6/7/2018,Ki3/NC356,Y158,1.16939384,0.933190475,3/14/2018,85
158,1,6/7/2018,Ki3/NC356,Y159,1.851444727,0.934611705,3/14/2018,85
159,1,6/7/2018,Ki3/NC356,Y160,1.021420655,0.935893993,3/14/2018,85
160,1,6/7/2018,Ki3/NC356,Y161,2.498652285,0.934220713,3/14/2018,85
161,1,6/7/2018,Ki3/NC356,Y162,1.604482523,0.935199323,3/14/2018,85
162,1,6/7/2018,Ki3/NC356,Y163,1.81525046,0.933075257,3/14/2018,85
163,1,6/7/2018,Ki3/NC356,Y164,1.654786231,0.934166747,3/14/2018,85
164,1,6/7/2018,Ki3/NC356,Y165,2.536064859,0.933684367,3/14/2018,85
165,1,6/7/2018,Ki3/NC356,Y166,0.959301432,0.933878265,3/14/2018,85
166,1,6/7/2018,Ki3/NC356,Y167,4.189380773,0.933821435,3/14/2018,85
167,1,6/7/2018,Ki3/NC356,Y456,2.074977674,1.012338724,3/14/2018,85
168,1,6/7/2018,Ki3/NC356,Y457,0.812659588,0.936166475,3/14/2018,85
169,1,6/7/2018,Ki3/NC356,Y458,7.700682782,0.93505334,3/14/2018,85
170,1,6/7/2018,Ki3/NC356,Y459,0.894096189,0.932623301,3/14/2018,85
171,1,6/7/2018,Ki3/NC356,Y460,1.105077443,0.934452374,3/14/2018,85
172,1,6/7/2018,Ki3/NC356,Y461,4.829746019,0.932579763,3/14/2018,85
173,1,6/7/2018,Ki3/NC356,Y462,1.708175131,0.933835766,3/14/2018,85
174,1,6/7/2018,Ki3/NC356,Y463,0.843601618,0.93400063,3/14/2018,85
175,1,6/7/2018,Ki3/NC356,Y464,4.791982612,0.935095119,3/14/2018,85
176,1,6/7/2018,Ki3/NC356,Y465,3.976628796,0.934127406,3/14/2018,85
177,1,6/7/2018,Ki3/NC356,Y466,0.594306819,0.934882932,3/14/2018,85
178,1,6/7/2018,Ki3/NC356,Y467,1.595809843,0.936025195,3/14/2018,85
179,1,6/7/2018,Ki3/NC356,Y468,1.066029217,0.934551548,3/14/2018,85
180,1,6/7/2018,Ki3/NC356,Y469,1.274589203,0.934315999,3/14/2018,85
181,1,6/7/2018,Ki3/NC356,Y470,0.840947944,0.935285457,3/14/2018,85
182,1,6/7/2018,Ki3/NC356,Y471,2.48804835,0.933512339,3/14/2018,85
183,1,6/7/2018,Ki3/NC356,Y472,2.314859282,0.933025287,3/14/2018,85
184,1,6/7/2018,Ki3/NC356,Y473,2.463087576,0.934469237,3/14/2018,85
185,1,6/7/2018,Ki3/NC356,Y474,0.952196173,0.934406425,3/14/2018,85
186,1,6/7/2018,Ki3/NC356,Y475,3.38758279,0.934998336,3/14/2018,85
187,1,6/7/2018,Ki3/NC356,Y476,1.431506954,0.933432518,3/14/2018,85
188,1,6/7/2018,Ki3/NC356,Y477,0.942610672,0.933803535,3/14/2018,85
189,1,6/7/2018,Ki3/NC356,Y478,1.014076343,0.93471738,3/14/2018,85
190,1,6/7/2018,Ki3/NC356,Y479,0.85727494,0.934551925,3/14/2018,85
191,1,6/7/2018,Ki3/NC356,Y480,2.330470127,0.934786087,3/14/2018,85
192,1,6/7/2018,Ki3/NC356,Y481,1.494064192,0.933869674,3/14/2018,85
193,1,6/7/2018,Ki3/NC356,Y482,2.191355859,0.935150327,3/14/2018,85
194,1,6/7/2018,Ki3/NC356,Y483,0.992405789,0.934128518,3/14/2018,85
195,1,6/7/2018,Ki3/NC356,Y484,2.377822227,0.933787088,3/14/2018,85
196,1,6/7/2018,Ki3/NC356,Y485,4.864772429,0.934509439,3/14/2018,85
197,1,6/7/2018,Ki3/NC356,Y486,1.458572587,0.935201302,3/14/2018,85
198,1,6/7/2018,Ki3/NC356,Y487,1.66356506,0.933672316,3/14/2018,85
199,1,6/7/2018,Ki3/NC356,Y488,3.055997953,0.933555424,3/14/2018,85
200,1,6/7/2018,Ki3/NC356,Y489,0.605264387,0.933793193,3/14/2018,85
201,1,6/7/2018,Ki3/NC356,Y490,2.224218912,0.93414524,3/14/2018,85
202,1,6/7/2018,Ki3/NC356,Y491,1.757597928,0.933114259,3/14/2018,85
203,1,6/7/2018,Ki3/NC356,Y492,1.051739024,0.936720578,3/14/2018,85
204,1,6/7/2018,Ki3/NC356,Y493,2.406502034,0.933106309,3/14/2018,85
205,1,6/7/2018,Ki3/NC356,Y494,3.205228458,0.933974122,3/14/2018,85
206,1,6/7/2018,Ki3/NC356,Y495,1.154439168,0.935629845,3/14/2018,85
207,1,6/7/2018,Ki3/NC356,Y496,1.077321032,0.933446916,3/14/2018,85
208,1,6/7/2018,Ki3/NC356,Y497,1.591628596,0.933076138,3/14/2018,85
209,1,6/7/2018,Ki3/NC356,Y498,2.553380318,0.936509782,3/14/2018,85
210,1,6/7/2018,Ki3/NC356,Y499,2.477333915,0.934803891,3/14/2018,85
211,1,6/7/2018,Ki3/NC356,Y500,2.480264601,0.935344745,3/14/2018,85
212,1,6/7/2018,Ki3/NC356,Y501,1.755028981,0.936957005,3/14/2018,85
213,1,6/7/2018,Ki3/NC356,Y502,1.311353308,0.936285004,3/14/2018,85
214,1,6/7/2018,Ki3/NC356,Y503,1.831420652,0.933892076,3/14/2018,85
215,1,6/7/2018,Ki3/NC356,Y504,3.025670979,0.933133841,3/14/2018,85
216,1,6/7/2018,Ki3/NC356,Y505,3.073505358,0.933587373,3/14/2018,85
217,1,6/7/2018,Ki3/NC356,Y506,0.883064741,0.935076332,3/14/2018,85
218,1,6/7/2018,Ki3/NC356,Y507,1.736935362,0.93432029,3/14/2018,85
219,1,6/7/2018,Ki3/NC356,Y508,1.145192022,0.935244255,3/14/2018,85
220,1,6/7/2018,Ki3/NC356,Y509,3.172397455,0.933589519,3/14/2018,85
221,1,6/7/2018,Ki3/NC356,Y510,0.722562625,0.935569503,3/14/2018,85
222,1,6/7/2018,Ki3/NC356,Y511,3.86972711,0.933778388,3/14/2018,85
223,1,6/7/2018,Ki3/NC356,Y512,1.526775673,0.936553143,3/14/2018,85
224,1,6/7/2018,Ki3/NC356,Y513,2.45895492,0.934421456,3/14/2018,85
225,1,6/7/2018,Ki3/NC356,Y514,1.6941907,0.934522556,3/14/2018,85
226,1,6/7/2018,Ki3/NC356,Y515,1.659961551,0.933319937,3/14/2018,85
227,1,6/7/2018,Ki3/NC356,Y516,0.800508456,0.93546716,3/14/2018,85
228,1,6/7/2018,Ki3/NC356,Y517,1.88750849,0.933665096,3/14/2018,85
229,1,6/7/2018,Ki3/NC356,Y518,1.668376146,0.933459673,3/14/2018,85
230,1,6/7/2018,Ki3/NC356,Y519,6.524868549,0.935210976,3/14/2018,85
231,1,6/7/2018,Ki3/NC356,Y520,1.464560466,0.933587548,3/14/2018,85
232,1,6/7/2018,Ki3/NC356,Y521,0.966800792,0.93645695,3/14/2018,85
233,1,6/7/2018,Ki3/NC356,Y522,0.64820147,0.934302506,3/14/2018,85
234,1,6/7/2018,Ki3/NC356,Y523,3.208785361,0.933464684,3/14/2018,85
235,1,6/7/2018,Ki3/NC356,Y524,2.44980381,0.933732304,3/14/2018,85
236,1,6/7/2018,Ki3/NC356,Y525,0.811678084,0.9330451,3/14/2018,85
237,1,6/7/2018,Ki3/NC356,Y526,5.370571411,0.933666649,3/14/2018,85
238,1,6/7/2018,Ki3/NC356,Y527,2.39417706,0.933625029,3/14/2018,85
239,1,6/7/2018,LH82/LAMA,Y168,4.76958849,0.993380505,3/14/2018,85
240,1,6/7/2018,LH82/LAMA,Y169,0.694489489,0.918781068,3/14/2018,85
241,1,6/7/2018,LH82/LAMA,Y170,0.709285912,0.919209042,3/14/2018,85
242,1,6/7/2018,LH82/LAMA,Y171,1.338413774,0.918235044,3/14/2018,85
243,1,6/7/2018,LH82/LAMA,Y172,1.336683433,0.920183811,3/14/2018,85
244,1,6/7/2018,LH82/LAMA,Y173,0.661031964,0.918460169,3/14/2018,85
245,1,6/7/2018,LH82/LAMA,Y174,10.82614543,0.919849683,3/14/2018,85
246,1,6/7/2018,LH82/LAMA,Y175,0.93173763,0.916710538,3/14/2018,85
247,1,6/7/2018,LH82/LAMA,Y176,0.529318387,0.918753066,3/14/2018,85
248,1,6/7/2018,LH82/LAMA,Y177,1.521628461,0.992972203,3/14/2018,85
249,1,6/7/2018,LH82/LAMA,Y178,0.739496218,0.922248108,3/14/2018,85
250,1,6/7/2018,LH82/LAMA,Y179,1.283730611,0.920334671,3/14/2018,85
251,1,6/7/2018,LH82/LAMA,Y180,0.665170377,0.919781653,3/14/2018,85
252,1,6/7/2018,LH82/LAMA,Y181,1.329872548,0.920693554,3/14/2018,85
253,1,6/7/2018,LH82/LAMA,Y182,0.548880814,0.922221098,3/14/2018,85
254,1,6/7/2018,LH82/LAMA,Y183,0.791387764,0.918576948,3/14/2018,85
255,1,6/7/2018,LH82/LAMA,Y184,0.919821728,0.917127284,3/14/2018,85
256,1,6/7/2018,LH82/LAMA,Y185,0.876806975,0.917465638,3/14/2018,85
257,1,6/7/2018,LH82/LAMA,Y186,0.749543639,0.917646654,3/14/2018,85
258,1,6/7/2018,LH82/LAMA,Y187,2.238816988,0.918476821,3/14/2018,85
259,1,6/7/2018,LH82/LAMA,Y188,0.583047773,0.923585245,3/14/2018,85
260,1,6/7/2018,LH82/LAMA,Y189,2.816739432,0.918101009,3/14/2018,85
261,1,6/7/2018,LH82/LAMA,Y190,0.879339448,0.914990768,3/14/2018,85
262,1,6/7/2018,LH82/LAMA,Y191,1.566747913,0.919758906,3/14/2018,85
263,1,6/7/2018,LH82/LAMA,Y192,0.679837579,0.917802375,3/14/2018,85
264,1,6/7/2018,LH82/LAMA,Y193,1.028519794,0.915508781,3/14/2018,85
265,1,6/7/2018,LH82/LAMA,Y194,0.949451883,0.918111624,3/14/2018,85
266,1,6/7/2018,LH82/LAMA,Y195,1.127158687,0.921029924,3/14/2018,85
267,1,6/7/2018,LH82/LAMA,Y196,0.847844333,0.916026197,3/14/2018,85
268,1,6/7/2018,LH82/LAMA,Y197,0.973385392,0.917939322,3/14/2018,85
269,1,6/7/2018,LH82/LAMA,Y198,2.092429641,0.91611675,3/14/2018,85
270,1,6/7/2018,LH82/LAMA,Y199,0.876025407,0.91944513,3/14/2018,85
271,1,6/7/2018,LH82/LAMA,Y200,0.849384461,0.915477944,3/14/2018,85
272,1,6/7/2018,LH82/LAMA,Y201,2.306331886,0.91627491,3/14/2018,85
273,1,6/7/2018,LH82/LAMA,Y202,0.702160482,0.917383793,3/14/2018,85
274,1,6/7/2018,LH82/LAMA,Y203,0.802196907,0.92328823,3/14/2018,85
275,1,6/7/2018,LH82/LAMA,Y204,0.674685559,0.917107199,3/14/2018,85
276,1,6/7/2018,LH82/LAMA,Y205,0.958822133,0.916922079,3/14/2018,85
277,1,6/7/2018,LH82/LAMA,Y206,0.916138536,0.916461227,3/14/2018,85
278,1,6/7/2018,LH82/LAMA,Y207,0.300909329,0.920664959,3/14/2018,85
279,1,6/7/2018,LH82/LAMA,Y208,0.820387559,0.921885655,3/14/2018,85
280,1,6/7/2018,LH82/LAMA,Y209,0.564495989,0.918027995,3/14/2018,85
281,1,6/7/2018,LH82/LAMA,Y210,0.779293645,0.916140883,3/14/2018,85
282,1,6/7/2018,LH82/LAMA,Y211,1.550956848,0.919203419,3/14/2018,85
283,1,6/7/2018,LH82/LAMA,Y212,0.84271515,0.919876386,3/14/2018,85
284,1,6/7/2018,LH82/LAMA,Y213,0.800894181,0.916664464,3/14/2018,85
285,1,6/7/2018,LH82/LAMA,Y214,1.356112787,0.91962864,3/14/2018,85
286,1,6/7/2018,LH82/LAMA,Y215,0.898434089,0.915574684,3/14/2018,85
287,1,6/7/2018,LH82/LAMA,Y216,0.692905344,0.917391328,3/14/2018,85
288,1,6/7/2018,LH82/LAMA,Y217,0.861424457,0.918052048,3/14/2018,85
289,1,6/7/2018,LH82/LAMA,Y218,0.673728179,0.919878342,3/14/2018,85
290,1,6/7/2018,LH82/LAMA,Y219,2.259591509,0.919658224,3/14/2018,85
291,1,6/7/2018,LH82/LAMA,Y220,0.436541275,0.920383215,3/14/2018,85
292,1,6/7/2018,LH82/LAMA,Y221,0.907650877,0.915905251,3/14/2018,85
293,1,6/7/2018,LH82/LAMA,Y222,0.651353063,0.923619808,3/14/2018,85
294,1,6/7/2018,LH82/LAMA,Y223,0.776655467,0.916487939,3/14/2018,85
295,1,6/7/2018,LH82/LAMA,Y224,2.058413336,0.916536526,3/14/2018,85
296,1,6/7/2018,LH82/LAMA,Y225,0.888909919,0.918988635,3/14/2018,85
297,1,6/7/2018,LH82/LAMA,Y226,0.781603108,0.917611914,3/14/2018,85
298,1,6/7/2018,LH82/LAMA,Y227,0.909704256,0.91547211,3/14/2018,85
299,1,6/7/2018,LH82/LAMA,Y228,0.866030285,0.917461435,3/14/2018,85
300,1,6/7/2018,LH82/LAMA,Y229,1.326442685,0.91941547,3/14/2018,85
301,1,6/7/2018,LH82/LAMA,Y230,2.326766148,0.915658884,3/14/2018,85
302,1,6/7/2018,LH82/LAMA,Y231,2.068785127,0.918560175,3/14/2018,85
303,1,6/7/2018,LH82/LAMA,Y232,1.258756421,0.922020998,3/14/2018,85
304,1,6/7/2018,LH82/LAMA,Y233,1.466937711,0.921555736,3/14/2018,85
305,1,6/7/2018,LH82/LAMA,Y234,2.835111195,0.919858651,3/14/2018,85
306,1,6/7/2018,LH82/LAMA,Y235,1.439611453,0.921318991,3/14/2018,85
307,1,6/7/2018,LH82/LAMA,Y236,0.81123193,0.917658109,3/14/2018,85
308,1,6/7/2018,LH82/LAMA,Y237,1.352354983,0.917988213,3/14/2018,85
